Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,94475,4247085.835,10911,490499.6406
812,334.908,706065,236466817.02,13682,4582211.256
1358,97.2156,565548,54980088.1488,20319,1975323.7763999999
1778,40.8635,25377,1036993.0395000001,468,19124.118000000002
828,45.4532,18400,836338.88,2688,122178.2016
2213,8.07837,6011,48559.08207,426,3441.38562
1726,65.5195,4888,320259.316,39,2555.2605
2054,37.2896,147951,5517033.6096,1751,65294.0896
1903,16.1097,14815,238665.2055,196,3157.5012
509,133.977,87620,11739064.74,1356,181672.812
1751,10.0901,3025,30522.552499999998,135,1362.1634999999999
62,40.4224,5073,205062.83520000003,1259,50891.801600000006
2151,40.7196,98776,4022119.2096,6073,247290.13079999998
239,98.774,619,61141.106,37,3654.638
1893,44.3029,871,38587.8259,28,1240.4812
1305,111.513,709584,79127840.59200001,29913,3335688.369
1673,34.2884,3773,129370.13320000001,82,2811.6488000000004
492,45.4197,148282,6734923.955399999,1791,81346.6827
2249,320.874,716715,229975208.91000003,35041,11243745.834
264,17.7912,30686,545940.7632,15774,280638.3888
2123,26.1783,3490,91362.267,41,1073.3103
116,27.1629,2333,63371.0457,213,5785.6977
1159,18.1708,17958,326311.2264,2452,44554.8016
1270,263.009,663867,174602995.803,106417,27988628.753000002
2165,28.2044,2165,61062.526,10,282.044
1152,171.372,25615,4389693.78,148,25363.056
792,79.0312,4239,335013.2568,66,5216.0592
1979,51.6033,36552,1886203.8216,969,50003.5977
2185,56.1164,27712,1555097.6768,216,12121.1424

weighted_avg,NA,NA,819612734.16277,NA,50827156.64182
weighted_%,NA,NA,0.9416075053788746,NA,0.0583924946211254
weighted_total,870439890.80459
