Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,160559514,7217888728.0644
812,334.908,210566565,70520427151.02
1358,97.2156,271948824,26437668094.4544
1778,40.8635,5622833,229768636.2955
828,45.4532,18081176,821847308.9632001
2213,8.07837,3974597,32108265.16689
1726,65.5195,531877,34848315.1015
2054,37.2896,24823898,925673226.8608
1903,16.1097,2367979,38147431.2963
509,133.977,10386364,1391533889.628
1751,10.0901,1637009,16517584.5109
62,40.4224,19270324,778952744.8576001
2151,40.7196,64553345,2628586387.062
239,98.774,606886,59944557.764
1893,44.3029,171783,7610485.0707
1305,111.513,383956602,42816152558.826004
1673,34.2884,1158118,39710013.2312
492,45.4197,15713237,713690510.5689
2249,320.874,744340035,238839364390.59003
264,17.7912,80839647,1438234327.7064
2123,26.1783,193102,5055082.0866
116,27.1629,1152917,31316569.1793
1159,18.1708,41556985,755123663.038
1270,263.009,1671409522,439595746971.698
2165,28.2044,107798,3040377.9112
1152,171.372,1947508,333748340.976
792,79.0312,602305,47600886.916
1979,51.6033,12008620,619684420.446
2185,56.1164,1136651,63784762.1764

weighted_avg,NA,NA,836443775681.4664
weighted_%,NA,NA,1.0
weighted_total,836443775681.4664
