Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2317,104159.8082,0,0.0
812,334.908,7489,2508126.012,0,0.0
1358,97.2156,10150,986738.34,0,0.0
1778,40.8635,33,1348.4955,0,0.0
828,45.4532,270,12272.364000000001,0,0.0
2213,8.07837,9,72.70533,0,0.0
1726,65.5195,30,1965.5849999999998,0,0.0
2054,37.2896,199,7420.6304,0,0.0
1903,16.1097,16,257.7552,0,0.0
509,133.977,5633,754692.441,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,492,19887.8208,0,0.0
2151,40.7196,115,4682.754,0,0.0
239,98.774,66,6519.084,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,13085,1459147.605,0,0.0
1673,34.2884,92,3154.5328000000004,0,0.0
492,45.4197,4679,212518.7763,0,0.0
2249,320.874,16625,5334530.25,0,0.0
264,17.7912,891,15851.9592,0,0.0
2123,26.1783,31,811.5273,0,0.0
116,27.1629,234,6356.1186,0,0.0
1159,18.1708,108,1962.4464,0,0.0
1270,263.009,8680,2282918.12,2,526.018
2165,28.2044,2,56.4088,0,0.0
1152,171.372,359,61522.548,0,0.0
792,79.0312,531,41965.5672,0,0.0
1979,51.6033,1020,52635.365999999995,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,13881855.603030002,NA,526.018
weighted_%,NA,NA,0.9999621089511613,NA,3.789104883870583e-05
weighted_total,13882381.621030001
