Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,551435,24789539.851
812,334.908,423260,141753160.08
1358,97.2156,2203235,214188812.466
1778,40.8635,2595,106040.7825
828,45.4532,165815,7536822.358
2213,8.07837,31510,254549.4387
1726,65.5195,1790,117279.90499999998
2054,37.2896,61585,2296480.016
1903,16.1097,5135,82723.3095
509,133.977,635485,85140373.845
1751,10.0901,0,0.0
62,40.4224,113380,4583091.712
2151,40.7196,168055,6843132.378
239,98.774,4710,465225.54
1893,44.3029,170,7531.493
1305,111.513,3361435,374843701.15500003
1673,34.2884,7515,257677.32600000003
492,45.4197,643910,29246199.027
2249,320.874,1926525,618171782.85
264,17.7912,208225,3704572.62
2123,26.1783,5320,139268.556
116,27.1629,20245,549912.9105
1159,18.1708,100335,1823167.2179999999
1270,263.009,5398860,1419948769.74
2165,28.2044,120,3384.528
1152,171.372,40925,7013399.100000001
792,79.0312,36020,2846703.824
1979,51.6033,301275,15546784.2075
2185,56.1164,8240,462399.136

weighted_avg,NA,NA,2962722485.3726997
weighted_%,NA,NA,1.0
weighted_total,2962722485.3726997
