Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,109975017,4943882899.2282
812,334.908,111773714,37433911008.312004
1358,97.2156,157931991,15353453264.2596
1778,40.8635,346425408,14156154659.808
828,45.4532,265095302,12049429780.8664
2213,8.07837,141971612,1146899211.23244
1726,65.5195,89551539,5867372059.510499
2054,37.2896,87486102,3262321749.1392
1903,16.1097,101195118,1630222992.4446
509,133.977,304035189,40733722516.653
1751,10.0901,114039136,1150666286.1536
62,40.4224,117976403,4768889352.6272
2151,40.7196,256813566,10457345682.0936
239,98.774,86139746,8508367271.404
1893,44.3029,116321593,5153383902.5197
1305,111.513,192277071,21441393018.423
1673,34.2884,121401653,4162668438.7252
492,45.4197,222419186,10102212702.3642
2249,320.874,96736703,31040292838.422
264,17.7912,470753260,8375265399.312
2123,26.1783,317679746,8316315694.7118
116,27.1629,172854010,4695216188.229
1159,18.1708,104378133,1896634179.1164
1270,263.009,140560429,36968657870.861
2165,28.2044,102822891,2900057946.9204
1152,171.372,102082442,17494072250.424
792,79.0312,132704168,10487769642.0416
1979,51.6033,139171216,7181694010.6128
2185,56.1164,438232037,24592004281.1068

weighted_avg,NA,NA,356270277097.5223
weighted_%,NA,NA,1.0
weighted_total,356270277097.5223
