Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,33365,1499910.229,0,0.0,0,0.0,450,20229.57,424315,19074911.099
812,334.908,130,43538.04,0,0.0,0,0.0,18710,6266128.680000001,388035,129956025.78
1358,97.2156,740,71939.544,0,0.0,0,0.0,127815,12425611.913999999,1905205,185215647.19799998
1778,40.8635,0,0.0,0,0.0,0,0.0,110,4494.985000000001,2485,101545.7975
828,45.4532,3680,167267.776,0,0.0,0,0.0,300,13635.960000000001,134780,6126182.296
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,15665,126547.66605
1726,65.5195,65,4258.7675,0,0.0,0,0.0,0,0.0,1360,89106.51999999999
2054,37.2896,960,35798.016,0,0.0,0,0.0,0,0.0,46560,1736203.776
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,4195,67580.1915
509,133.977,3015,403940.655,0,0.0,0,0.0,53410,7155711.57,550395,73740270.915
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,1080,43656.192,0,0.0,0,0.0,110,4446.464,97700,3949268.4800000004
2151,40.7196,7800,317612.88,0,0.0,0,0.0,800,32575.68,118770,4836266.892
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,4085,403491.79
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,130,5759.377
1305,111.513,2530,282127.89,0,0.0,0,0.0,231375,25801320.375,2881745,321352030.185
1673,34.2884,65,2228.746,0,0.0,0,0.0,0,0.0,6635,227503.534
492,45.4197,1430,64950.170999999995,0,0.0,0,0.0,34255,1555851.8235,562595,25552896.1215
2249,320.874,3725,1195255.6500000001,0,0.0,0,0.0,127325,40855282.050000004,1612365,517366007.01000005
264,17.7912,10240,182181.888,0,0.0,0,0.0,0,0.0,149730,2663876.376
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,5200,136127.16
116,27.1629,0,0.0,0,0.0,0,0.0,0,0.0,14135,383947.5915
1159,18.1708,3655,66414.274,0,0.0,0,0.0,1445,26256.806,66340,1205450.872
1270,263.009,186075,48939399.675000004,0,0.0,0,0.0,20460,5381164.140000001,4345865,1143001607.785
2165,28.2044,0,0.0,0,0.0,0,0.0,0,0.0,20,564.088
1152,171.372,2100,359881.2,0,0.0,0,0.0,115,19707.780000000002,32665,5597866.380000001
792,79.0312,65,5137.028,0,0.0,0,0.0,0,0.0,35200,2781898.2399999998
1979,51.6033,12460,642977.118,0,0.0,0,0.0,4475,230924.7675,269435,13903735.135499999
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,5900,331086.76

weighted_avg,NA,NA,54328475.73950001,NA,0.0,NA,0.0,NA,99793342.565,NA,2459933405.0165505
weighted_%,NA,NA,0.020783216534529785,NA,0.0,NA,0.0,NA,0.03817568262319134,NA,0.9410411008422789
weighted_total,2614055223.3210506
