Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200626,53973661.5796,1086269,48832788.3874
812,334.908,1500449,502512373.69200003,492321,164882241.468
1358,97.2156,1041997,101298363.55319999,957744,93107657.6064
1778,40.8635,1379373,56366008.5855,208160,8506146.16
828,45.4532,1163211,52871662.225200005,2692650,122389558.98
2213,8.07837,1190610,9618188.1057,293626,2372019.46962
1726,65.5195,1230057,80592719.6115,165017,10811831.3315
2054,37.2896,1403690,52343038.624,91383,3407635.5168
1903,16.1097,822217,13245669.2049,29631,477346.5207
509,133.977,1145129,153420948.033,387923,51972759.771
1751,10.0901,1324017,13359463.931699999,67565,681737.6065
62,40.4224,1424386,57577100.646400005,391206,15813485.414400002
2151,40.7196,1324332,53926269.3072,2014634,82035090.6264
239,98.774,1450417,143263488.75800002,93694,9254531.156
1893,44.3029,673142,29822142.7118,51180,2267422.4220000003
1305,111.513,1246104,138956795.352,1253805,139815556.965
1673,34.2884,1381411,47366372.9324,324770,11135843.668000001
492,45.4197,976117,44334941.3049,531681,24148791.515699998
2249,320.874,1361145,436756040.73,1846958,592640801.292
264,17.7912,1361647,24225334.106399998,2741695,48778044.084
2123,26.1783,1109317,29040033.2211,443332,11605678.0956
116,27.1629,1253677,34053502.9833,1142340,31029267.186
1159,18.1708,1385158,25169428.9864,636003,11556683.3124
1270,263.009,1313645,345500457.805,2318505,609787681.5450001
2165,28.2044,1108382,31261249.2808,38181,1076872.1964
1152,171.372,1169617,200439604.52400002,874055,149788553.46
792,79.0312,1191635,94176344.012,77368,6114485.8816
1979,51.6033,1060334,54716733.5022,348755,17996908.8915
2185,56.1164,1107888,62170686.1632,3057896,171598115.0944

weighted_avg,NA,NA,2942358623.4734,NA,2443885535.62432
weighted_%,NA,NA,0.5462727898258313,NA,0.4537272101741687
weighted_total,5386244159.09772
