Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,2884,129649.0664,1143,51383.1078
812,334.908,8267,2768684.436,298,99802.584
1358,97.2156,12753,1239790.5468,1943,188889.91079999998
1778,40.8635,34,1389.3590000000002,0,0.0
828,45.4532,360,16363.152,239,10863.3148
2213,8.07837,21,169.64577,29,234.27273
1726,65.5195,41,2686.2994999999996,14,917.2729999999999
2054,37.2896,258,9620.7168,167,6227.3632
1903,16.1097,20,322.194,13,209.4261
509,133.977,5943,796225.311,437,58547.949
1751,10.0901,0,0.0,0,0.0
62,40.4224,596,24091.7504,135,5457.024
2151,40.7196,185,7533.126,160,6515.136
239,98.774,71,7012.954,16,1580.384
1893,44.3029,13,575.9377000000001,4,177.2116
1305,111.513,16989,1894494.357,2647,295174.911
1673,34.2884,97,3325.9748000000004,30,1028.652
492,45.4197,5249,238408.0053,664,30158.6808
2249,320.874,20203,6482617.422,3089,991179.7860000001
264,17.7912,1046,18609.5952,359,6387.0408
2123,26.1783,40,1047.132,2,52.3566
116,27.1629,255,6926.5395,136,3694.1544
1159,18.1708,168,3052.6944,204,3706.8432
1270,263.009,12383,3256840.447,5800,1525452.2000000002
2165,28.2044,2,56.4088,2,56.4088
1152,171.372,403,69062.91600000001,106,18165.432
792,79.0312,541,42755.879199999996,7,553.2184
1979,51.6033,1137,58672.952099999995,148,7637.2883999999995
2185,56.1164,6,336.6984,25,1402.9099999999999

weighted_avg,NA,NA,17080321.51707,NA,3315454.8394300006
weighted_%,NA,NA,0.8374440481461062,NA,0.16255595185389385
weighted_total,20395776.3565
