Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170520,7665658.392,1048,47112.4208,3855243,173310906.9678
812,334.908,63655,21318568.740000002,919,307780.452,4078649,1365972179.292
1358,97.2156,279771,27198105.6276,6323,614694.2387999999,3276878,318563660.8968
1778,40.8635,353318,14437810.093,2731,111598.2185,17509776,715510731.576
828,45.4532,971747,44169010.7404,9265,421123.89800000004,3448517,156746132.90440002
2213,8.07837,809067,6535942.58079,55396,447509.38451999996,4051705,32731172.120849997
1726,65.5195,95503,6257308.808499999,1785,116952.3075,3931672,257601183.60399997
2054,37.2896,52303,1950357.9488,426,15885.3696,3320275,123811726.64
1903,16.1097,655087,10553255.0439,2531,40773.6507,2528843,40738902.0771
509,133.977,1015926,136110717.702,4972,666133.644,2627852,352071727.404
1751,10.0901,299006,3017000.4406,10319,104119.7419,3209526,32384438.2926
62,40.4224,59276,2396078.1824000003,584,23606.681600000004,4102310,165825215.74400002
2151,40.7196,457902,18645586.2792,8501,346157.3196,3713315,151204701.474
239,98.774,96289,9510849.686,86,8494.564,3892133,384441544.94200003
1893,44.3029,413769,18331166.6301,672,29771.5488,1610929,71368826.3941
1305,111.513,296616,33076540.008,11762,1311615.906,3682251,410618855.763
1673,34.2884,85312,2925211.9808,58,1988.7272000000003,4745714,162722939.9176
492,45.4197,636425,28906232.572499998,5705,259119.3885,2592500,117750572.25
2249,320.874,159269,51105281.106000006,9544,3062421.4560000002,4313624,1384129787.3760002
264,17.7912,624146,11104306.3152,67644,1203467.9328,3094556,55055864.7072
2123,26.1783,350157,9166514.9931,538,14083.9254,1866987,48874545.7821
116,27.1629,267941,7278054.5889,1054,28629.6966,2899189,78750380.8881
1159,18.1708,121270,2203572.916,22287,404972.6196,3422409,62187909.4572
1270,263.009,172002,45238074.018,6459,1698775.131,3741815,984131021.335
2165,28.2044,119224,3362641.3856,3578,100915.3432,3387521,95542997.2924
1152,171.372,405218,69443019.096,8452,1448436.144,3433717,588442949.7240001
792,79.0312,75440,5962113.728,74,5848.3088,3727294,294572517.5728
1979,51.6033,629709,32495062.4397,17487,902386.9071,2472817,127605517.4961
2185,56.1164,989142,55507088.1288,4670,262063.588,3105032,174243217.7248

weighted_avg,NA,NA,685871130.17189,NA,14006438.514519997,NA,8926912127.61595
weighted_%,NA,NA,0.07124609052541496,NA,0.0014549438552604774,NA,0.9272989656193245
weighted_total,9626789696.30236
