Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,2871,129064.6566,1538,69140.1748
812,334.908,28099,9410579.892,2401,804114.108
1358,97.2156,19296,1875872.2175999999,3867,375932.7252
1778,40.8635,6,245.181,13,531.2255
828,45.4532,331,15045.0092,178,8090.6696
2213,8.07837,5,40.39185,2,16.15674
1726,65.5195,63,4127.728499999999,6,393.11699999999996
2054,37.2896,252,9396.9792,110,4101.856
1903,16.1097,28,451.0716,11,177.2067
509,133.977,2836,379958.772,200,26795.4
1751,10.0901,0,0.0,0,0.0
62,40.4224,923,37309.8752,96,3880.5504
2151,40.7196,181,7370.2476,162,6596.5752
239,98.774,239,23606.986,20,1975.48
1893,44.3029,0,0.0,0,0.0
1305,111.513,24853,2771432.589,5080,566486.04
1673,34.2884,136,4663.222400000001,38,1302.9592
492,45.4197,5051,229414.90469999998,761,34564.3917
2249,320.874,37442,12014164.308,7956,2552873.544
264,17.7912,2491,44317.8792,509,9055.7208
2123,26.1783,9,235.6047,11,287.9613
116,27.1629,282,7659.9378,216,5867.1864000000005
1159,18.1708,212,3852.2096,161,2925.4988
1270,263.009,16168,4252329.512,6928,1822126.3520000002
2165,28.2044,0,0.0,0,0.0
1152,171.372,257,44042.60400000001,129,22106.988
792,79.0312,436,34457.6032,4,316.1248
1979,51.6033,260,13416.858,44,2270.5452
2185,56.1164,20,1122.328,26,1459.0264

weighted_avg,NA,NA,31314178.56895,NA,6323387.58374
weighted_%,NA,NA,0.831992654411102,NA,0.16800734558889802
weighted_total,37637566.15269
