Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,93474185,75728204451.935
5297,898.498,93663329,84156313779.84201
5168,967.77,93844116,90819520141.31999
2807,979.819,93681070,91790492326.33
2215,509.983,93703784,47787336875.672
1490,862.35,93847452,80929350232.2
3954,490.914,93926761,46109961949.554
2031,399.553,94000902,37558342396.806

weighted_avg,NA,NA,554879522153.659
weighted_%,NA,NA,1.0
weighted_total,554879522153.659
