Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1044361,846090108.5109999,374968,303780700.168
5297,898.498,1046485,940264679.5300001,395026,354930070.948
5168,967.77,1043960,1010313169.1999999,380410,368149385.7
2807,979.819,1043836,1022770345.684,374567,367007863.37299997
2215,509.983,1045253,533061260.699,376557,192037668.531
1490,862.35,1046321,902294914.35,385410,332358313.5
3954,490.914,1044960,512985493.44,377997,185564019.258
2031,399.553,1046227,418023136.531,376896,150589927.488

weighted_avg,NA,NA,6185803107.945,NA,2254417948.9659996
weighted_%,NA,NA,0.7328958644844921,NA,0.267104135515508
weighted_total,8440221056.910999
