Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,340792,276092979.592,92622,75037805.92199999
5297,898.498,339018,304606994.964,95464,85774213.07200001
5168,967.77,341099,330105379.23,92785,89794539.45
2807,979.819,341028,334145713.932,92794,90921324.286
2215,509.983,340763,173783337.029,92956,47405979.748
1490,862.35,339954,293159331.90000004,94188,81223021.8
3954,490.914,340725,167266672.65,92729,45521964.306
2031,399.553,340489,136043401.417,92795,37076520.635

weighted_avg,NA,NA,2015203810.7140002,NA,552755369.2190001
weighted_%,NA,NA,0.7847491605246537,NA,0.21525083947534626
weighted_total,2567959179.9330006
