Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,20337,16476040.886999998,124,100458.72399999999
5297,898.498,21309,19146093.882,146,131180.708
5168,967.77,20753,20084130.81,143,138391.11
2807,979.819,20843,20422367.417,127,124437.01299999999
2215,509.983,20668,10540328.644,126,64257.858
1490,862.35,21115,18208520.25,166,143150.1
3954,490.914,20466,10047045.924,118,57927.852
2031,399.553,20260,8094943.78,100,39955.3

weighted_avg,NA,NA,123019471.59399998,NA,799758.6649999999
weighted_%,NA,NA,0.9935409171634559,NA,0.006459082836544029
weighted_total,123819230.25899999
