Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,588448795,476732379718.045
5297,898.498,606595078,545024464392.84406
5168,967.77,585563679,566690961625.83
2807,979.819,584957589,573152559896.391
2215,509.983,598041466,304990980955.078
1490,862.35,614975237,530323895626.95
3954,490.914,590768850,290016699228.89996
2031,399.553,601759236,240434708021.508

weighted_avg,NA,NA,3527366649465.546
weighted_%,NA,NA,1.0
weighted_total,3527366649465.546
