Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
517,810.151,14.454,11709.922554
5297,898.498,14.439,12973.412622
5168,967.77,14.447,13981.373189999998
2807,979.819,14.449,14157.404730999999
2215,509.983,14.439,7363.644537
1490,862.35,14.437,12449.74695
3954,490.914,14.442,7089.779988
2031,399.553,14.436,5767.947108

weighted_avg,NA,NA,85493.23168
weighted_%,NA,NA,1.0
weighted_total,85493.23168
