Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14466,11719644.365999999,0,0.0
5297,898.498,15203,13659865.094,1,898.498
5168,967.77,14597,14126538.69,0,0.0
2807,979.819,14611,14316135.409,0,0.0
2215,509.983,14720,7506949.76,0,0.0
1490,862.35,14929,12874023.15,1,862.35
3954,490.914,14670,7201708.38,0,0.0
2031,399.553,14831,5925770.543,0,0.0

weighted_avg,NA,NA,87330635.39199999,NA,1760.848
weighted_%,NA,NA,0.9999798374019744,NA,2.0162598025605257e-05
weighted_total,87332396.24
