Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
517,810.151,26590,21541915.09
5297,898.498,27539,24743736.422000002
5168,967.77,26954,26085272.58
2807,979.819,27095,26548195.805
2215,509.983,26884,13710382.972000001
1490,862.35,27398,23626665.3
3954,490.914,26659,13087276.326
2031,399.553,26462,10572971.486

weighted_avg,NA,NA,159916415.98100004
weighted_%,NA,NA,1.0
weighted_total,159916415.98100004
