Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,169035,136943874.285,0,0.0
5297,898.498,179256,161061157.488,20,17969.96
5168,967.77,174420,168798443.4,0,0.0
2807,979.819,174812,171284119.028,0,0.0
2215,509.983,175533,89518845.939,0,0.0
1490,862.35,178719,154118329.65,26,22421.100000000002
3954,490.914,175484,86147552.376,0,0.0
2031,399.553,177758,71023742.174,0,0.0

weighted_avg,NA,NA,1038896064.34,NA,40391.06
weighted_%,NA,NA,0.9999611226848476,NA,3.88773151524932e-05
weighted_total,1038936455.4
