Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1471323,1191993799.773,16208,13130927.408
5297,898.498,1475980,1326165078.04,16933,15214266.634000001
5168,967.77,1474906,1427369779.62,16268,15743682.36
2807,979.819,1471675,1441975126.825,16363,16032778.297
2215,509.983,1472905,751156510.615,16398,8362701.234
1490,862.35,1477355,1273997084.25,16687,14390034.450000001
3954,490.914,1473221,723224813.994,16340,8021534.76
2031,399.553,1473110,588585519.83,16517,6599416.901

weighted_avg,NA,NA,8724467712.946999,NA,97495342.044
weighted_%,NA,NA,0.9889485660463242,NA,0.011051433953675685
weighted_total,8821963054.991
