Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,321075,260119232.325,71723,58106460.17299999
5297,898.498,318575,286239000.35,73530,66066557.940000005
5168,967.77,321256,310901919.12,71418,69116197.86
2807,979.819,321166,314684548.954,71405,69963975.695
2215,509.983,320798,163601526.43400002,71690,36560681.27
1490,862.35,319792,275772631.2,72441,62469496.35
3954,490.914,320826,157497974.964,71670,35183806.38
2031,399.553,320417,128023573.601,71970,28755829.41

weighted_avg,NA,NA,1896840406.9480002,NA,426223005.078
weighted_%,NA,NA,0.816525453902147,NA,0.183474546097853
weighted_total,2323063412.026
