Scarab gitrev: 3067351
Scarab started at Fri Jan  3 09:34:03 2025

L1I D-JOLT instruction prefetcher has been constructed!
Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (166.67 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000002 } -- 200.00 KIPS (176.47 KIPS)
** Heartbeat:  20% -- { 4000003 } -- 200.00 KIPS (181.82 KIPS)
** Heartbeat:  25% -- { 5000006 } -- 200.00 KIPS (185.19 KIPS)
** Heartbeat:  30% -- { 6000006 } -- 200.00 KIPS (187.50 KIPS)
** Heartbeat:  35% -- { 7000007 } -- 200.00 KIPS (189.19 KIPS)
** Heartbeat:  40% -- { 8000010 } -- 200.00 KIPS (190.48 KIPS)
** Heartbeat:  45% -- { 9000012 } -- 200.00 KIPS (191.49 KIPS)
** Heartbeat:  50% -- { 10000013 } -- 166.67 KIPS (188.68 KIPS)
** Heartbeat:  55% -- { 11000013 } -- 200.00 KIPS (189.66 KIPS)
** Heartbeat:  60% -- { 12000017 } -- 200.00 KIPS (190.48 KIPS)
** Heartbeat:  65% -- { 13000018 } -- 166.67 KIPS (188.41 KIPS)
** Heartbeat:  70% -- { 14000020 } -- 200.00 KIPS (189.19 KIPS)
** Heartbeat:  75% -- { 15000021 } -- 200.00 KIPS (189.87 KIPS)
** Heartbeat:  80% -- { 16000022 } -- 166.67 KIPS (188.24 KIPS)
** Heartbeat:  85% -- { 17000024 } -- 200.00 KIPS (188.89 KIPS)
** Heartbeat:  90% -- { 18000028 } -- 200.00 KIPS (189.47 KIPS)
** Heartbeat:  95% -- { 19000033 } -- 166.67 KIPS (188.12 KIPS)
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
** Core 0 Finished:    insts:20138303    cycles:9440292     time:2950091250000       -- 2.13 IPC (2.13 IPC) --  N/A  KIPS (190.48 KIPS)
Scarab finished at Fri Jan  3 09:35:49 2025

