Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170529,7666062.9834,1075,48326.195,3855207,173309288.6022
812,334.908,63597,21299144.076,926,310124.808,4078700,1365989259.6000001
1358,97.2156,280761,27294349.071599998,6520,633845.7119999999,3275689,318448071.5484
1778,40.8635,352096,14387874.896000002,2778,113518.803,17510953,715558827.9155
828,45.4532,967664,43983425.3248,9312,423260.19840000005,3452597,156931581.96040002
2213,8.07837,809004,6535433.64348,55998,452372.56325999997,4051166,32726817.879419997
1726,65.5195,95482,6255932.898999999,1736,113741.85199999998,3931742,257605769.96899998
2054,37.2896,52313,1950730.8448,427,15922.6592,3320264,123811316.4544
1903,16.1097,653605,10529380.4685,2509,40419.2373,2530347,40763131.0659
509,133.977,1016159,136141934.343,4931,660640.587,2627660,352046003.82
1751,10.0901,299571,3022701.3471,10735,108317.2235,3208546,32374549.994599998
62,40.4224,59215,2393612.416,556,22474.8544,4102399,165828813.33760002
2151,40.7196,458807,18682437.5172,8518,346849.5528,3712387,151166913.6852
239,98.774,96294,9511343.556,86,8494.564,3892128,384441051.072
1893,44.3029,413765,18330989.4185,675,29904.4575,1610930,71368870.697
1305,111.513,297634,33190060.242000002,12009,1339159.617,3680986,410477791.818
1673,34.2884,85307,2925040.5388,57,1954.4388000000001,4745720,162723145.648
492,45.4197,636006,28887201.7182,5465,248218.6605,2593159,117780503.83229999
2249,320.874,166043,53278881.582,9805,3146169.5700000003,4306589,1381872438.786
264,17.7912,624322,11107437.5664,67886,1207773.4032,3094138,55048427.9856
2123,26.1783,349881,9159289.7823,528,13822.1424,1867273,48882032.7759
116,27.1629,267978,7279059.6162,1055,28656.859500000002,2899151,78749348.6979
1159,18.1708,121345,2204935.726,22337,405881.1596,3422284,62185638.1072
1270,263.009,172364,45333283.276,6650,1749009.85,3741262,983985577.358
2165,28.2044,119231,3362838.8164,3576,100858.9344,3387516,95542856.2704
1152,171.372,405368,69468724.89600001,8432,1445008.7040000001,3433587,588420671.3640001
792,79.0312,75444,5962429.8527999995,70,5532.184,3727294,294572517.5728
1979,51.6033,629593,32489076.456899997,17553,905792.7248999999,2472867,127608097.6611
2185,56.1164,987103,55392666.7892,4695,263466.498,3107046,174356236.1544

weighted_avg,NA,NA,688026279.6645801,NA,14189518.01366,NA,8924575551.63322
weighted_%,NA,NA,0.07146994826202294,NA,0.0014739613126314285,NA,0.9270560904253456
weighted_total,9626791349.31146
