Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,25692,1154973.5832
812,334.908,139769,46809756.252000004
1358,97.2156,89682,8718489.439199999
1778,40.8635,141,5761.753500000001
828,45.4532,1429,64952.622800000005
2213,8.07837,138,1114.81506
1726,65.5195,3979,260702.09049999996
2054,37.2896,1705,63578.768000000004
1903,16.1097,117,1884.8349
509,133.977,27032,3621666.264
1751,10.0901,0,0.0
62,40.4224,56013,2264179.8912
2151,40.7196,946,38520.7416
239,98.774,14050,1387774.7
1893,44.3029,162,7177.0698
1305,111.513,122560,13667033.280000001
1673,34.2884,6112,209570.70080000002
492,45.4197,26384,1198353.3647999999
2249,320.874,142580,45750214.92
264,17.7912,18189,323604.1368
2123,26.1783,1347,35262.1701
116,27.1629,4305,116936.28450000001
1159,18.1708,1173,21314.3484
1270,263.009,93801,24670507.209000003
2165,28.2044,8402,236973.3688
1152,171.372,1137,194849.964
792,79.0312,38175,3017016.06
1979,51.6033,1441,74360.3553
2185,56.1164,110,6172.804

weighted_avg,NA,NA,153922701.79226002
weighted_%,NA,NA,1.0
weighted_total,153922701.79226002
