Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,1376,61857.5296,6521,293148.94659999997
812,334.908,9882,3309560.856,38550,12910703.4
1358,97.2156,2799,272106.4644,38910,3782658.996
1778,40.8635,0,0.0,24,980.724
828,45.4532,1,45.4532,792,35998.934400000006
2213,8.07837,0,0.0,135,1090.57995
1726,65.5195,10,655.1949999999999,10,655.1949999999999
2054,37.2896,25,932.24,656,24461.9776
1903,16.1097,1,16.1097,78,1256.5566000000001
509,133.977,2263,303189.951,3869,518357.01300000004
1751,10.0901,0,0.0,0,0.0
62,40.4224,3456,139699.8144,1381,55823.33440000001
2151,40.7196,1,40.7196,614,25001.8344
239,98.774,54,5333.796,227,22421.698
1893,44.3029,30,1329.087,14,620.2406
1305,111.513,3717,414493.821,51356,5726861.6280000005
1673,34.2884,154,5280.413600000001,173,5931.8932
492,45.4197,1335,60635.2995,7614,345825.5958
2249,320.874,5576,1789193.424,74434,23883935.316000003
264,17.7912,1102,19605.9024,4100,72943.92
2123,26.1783,0,0.0,114,2984.3262
116,27.1629,306,8311.8474,193,5242.4397
1159,18.1708,3,54.5124,519,9430.645199999999
1270,263.009,1078,283523.702,43111,11338580.999
2165,28.2044,0,0.0,0,0.0
1152,171.372,48,8225.856,459,78659.748
792,79.0312,4173,329797.1976,837,66149.1144
1979,51.6033,86,4437.8838,359,18525.5847
2185,56.1164,0,0.0,102,5723.8728

weighted_avg,NA,NA,7018327.075599998,NA,59233974.51355001
weighted_%,NA,NA,0.10593333223534944,NA,0.8940666677646506
weighted_total,66252301.58915001
