Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,774693364,34826030301.2744
812,334.908,715296585,239558548689.18002
1358,97.2156,1159984843,112768622503.15079
1778,40.8635,2136259382,87295035256.35701
828,45.4532,1905120126,86593806111.10321
2213,8.07837,872152019,7045566705.72903
1726,65.5195,594374141,38943096531.2495
2054,37.2896,550873903,20541867493.3088
1903,16.1097,754501706,12154796133.148201
509,133.977,2098649025,281170700422.425
1751,10.0901,700887650,7072026477.264999
62,40.4224,788992639,31892976050.713604
2151,40.7196,1825662937,74340264529.4652
239,98.774,525541366,51909822885.284004
1893,44.3029,957600027,42424458236.1783
1305,111.513,1372846586,153090241344.618
1673,34.2884,879822144,30167693602.3296
492,45.4197,1634893698,74256381295.0506
2249,320.874,742248496,238168243905.50403
264,17.7912,2820937331,50187860243.2872
2123,26.1783,1465289371,38358784740.8493
116,27.1629,1090404152,29618538940.3608
1159,18.1708,643637587,11695409865.8596
1270,263.009,1022711047,268982209760.423
2165,28.2044,632009607,17825451759.6708
1152,171.372,724379595,124138379954.34001
792,79.0312,858664808,67861310174.0096
1979,51.6033,927772163,47876105258.9379
2185,56.1164,3012209327,169034343477.6628

weighted_avg,NA,NA,2449798572648.736
weighted_%,NA,NA,1.0
weighted_total,2449798572648.736
