Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,34812,1564959.5352,14432,648784.7872
812,334.908,347306,116315557.848,48690,16306670.520000001
1358,97.2156,82168,7988011.4207999995,37605,3655792.638
1778,40.8635,22,898.9970000000001,10,408.635
828,45.4532,246,11181.487200000001,378,17181.3096
2213,8.07837,2,16.15674,29,234.27273
1726,65.5195,1779,116559.19049999998,84,5503.637999999999
2054,37.2896,1294,48252.7424,692,25804.4032
1903,16.1097,37,596.0589,41,660.4977
509,133.977,63753,8541435.681,5154,690517.458
1751,10.0901,0,0.0,0,0.0
62,40.4224,63545,2568641.4080000003,12133,490444.97920000006
2151,40.7196,34,1384.4664,271,11035.0116
239,98.774,6319,624152.906,763,75364.562
1893,44.3029,136,6025.1944,15,664.5435
1305,111.513,101473,11315558.649,47460,5292406.98
1673,34.2884,2795,95836.07800000001,218,7474.8712000000005
492,45.4197,45043,2045839.5470999999,9386,426309.3042
2249,320.874,122054,39163955.196,64258,20618721.492000002
264,17.7912,37297,663558.3864,4757,84632.7384
2123,26.1783,325,8507.9475,266,6963.4278
116,27.1629,729,19801.754100000002,80,2173.032
1159,18.1708,130,2362.204,363,6596.0004
1270,263.009,36216,9525133.944,31160,8195360.44
2165,28.2044,2043,57621.5892,114,3215.3016
1152,171.372,1722,295102.58400000003,942,161432.424
792,79.0312,165261,13060775.143199999,3893,307668.4616
1979,51.6033,3418,176380.0794,642,33129.3186
2185,56.1164,0,0.0,23,1290.6772

weighted_avg,NA,NA,214218106.19444,NA,57076441.72472999
weighted_%,NA,NA,0.7896144903666273,NA,0.21038550963337255
weighted_total,271294547.91917
