Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,2563,115218.6398,1134,50978.5164
812,334.908,7678,2571423.6240000003,220,73679.76000000001
1358,97.2156,13040,1267691.4239999999,2323,225831.8388
1778,40.8635,20,817.27,10,408.635
828,45.4532,338,15363.181600000002,221,10045.1572
2213,8.07837,26,210.03762,56,452.38872
1726,65.5195,23,1506.9485,6,393.11699999999996
2054,37.2896,269,10030.9024,158,5891.7568
1903,16.1097,20,322.194,18,289.9746
509,133.977,5751,770501.7270000001,453,60691.581
1751,10.0901,0,0.0,0,0.0
62,40.4224,486,19645.2864,162,6548.428800000001
2151,40.7196,173,7044.4908,191,7777.4436
239,98.774,48,4741.152,15,1481.6100000000001
1893,44.3029,1,44.3029,0,0.0
1305,111.513,17526,1954376.838,3163,352715.619
1673,34.2884,39,1337.2476000000001,17,582.9028000000001
492,45.4197,5221,237136.2537,658,29886.1626
2249,320.874,21020,6744771.48,3524,1130759.976
264,17.7912,711,12649.5432,381,6778.4472
2123,26.1783,80,2094.264,26,680.6358
116,27.1629,44,1195.1676,43,1168.0047
1159,18.1708,162,2943.6696,242,4397.3336
1270,263.009,10117,2660862.0530000003,7819,2056467.371
2165,28.2044,4,112.8176,2,56.4088
1152,171.372,471,80716.212,135,23135.22
792,79.0312,123,9720.837599999999,5,395.156
1979,51.6033,1154,59550.208199999994,134,6914.8422
2185,56.1164,11,617.2804,26,1459.0264

weighted_avg,NA,NA,16552645.05352,NA,4059867.31402
weighted_%,NA,NA,0.8030386960294388,NA,0.1969613039705613
weighted_total,20612512.36754
