Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,49244,2213744.3224,68487,3078805.6902
812,334.908,395996,132622228.368,104083,34858229.364
1358,97.2156,119773,11643804.058799999,127266,12372240.5496
1778,40.8635,32,1307.632,91,3718.5785
828,45.4532,624,28362.7968,2856,129814.3392
2213,8.07837,31,250.42946999999998,460,3716.0501999999997
1726,65.5195,1863,122062.82849999999,780,51105.20999999999
2054,37.2896,1986,74057.1456,3917,146063.3632
1903,16.1097,78,1256.5566000000001,246,3962.9862
509,133.977,68907,9231953.139,23243,3114027.4110000003
1751,10.0901,0,0.0,0,0.0
62,40.4224,75678,3059086.3872,37260,1506138.624
2151,40.7196,305,12419.478,3867,157462.6932
239,98.774,7082,699517.468,2987,295037.938
1893,44.3029,151,6689.7379,35,1550.6015
1305,111.513,148933,16607965.629,158237,17645482.581
1673,34.2884,3013,103310.9492,807,27670.738800000003
492,45.4197,54429,2472148.8512999997,38786,1761648.4842
2249,320.874,186312,59782676.688,175132,56195305.368
264,17.7912,42054,748191.1248,29343,522047.1816
2123,26.1783,591,15471.3753,1161,30393.0063
116,27.1629,809,21974.7861,845,22952.6505
1159,18.1708,493,8958.2044,4918,89363.9944
1270,263.009,67376,17720494.384,218983,57594499.847
2165,28.2044,2157,60836.8908,1846,52065.3224
1152,171.372,2664,456535.00800000003,5141,881023.452
792,79.0312,169154,13368443.604799999,18592,1469348.0704
1979,51.6033,4060,209509.398,1530,78953.049
2185,56.1164,23,1290.6772,290,16273.756

weighted_avg,NA,NA,271294547.91916996,NA,192108900.90039998
weighted_%,NA,NA,0.5854392076930804,NA,0.4145607923069196
weighted_total,463403448.81956995
