Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2247,101012.9862,1450,65184.17
812,334.908,7097,2376842.076,801,268261.308
1358,97.2156,11146,1083565.0776,4217,409958.1852
1778,40.8635,20,817.27,10,408.635
828,45.4532,262,11908.7384,297,13499.600400000001
2213,8.07837,9,72.70533,73,589.72101
1726,65.5195,22,1441.4289999999999,7,458.63649999999996
2054,37.2896,229,8539.3184,198,7383.3408
1903,16.1097,19,306.0843,19,306.0843
509,133.977,5489,735399.753,715,95793.55500000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,428,17300.787200000002,220,8892.928
2151,40.7196,108,4397.7168,256,10424.2176
239,98.774,41,4049.734,22,2173.0280000000002
1893,44.3029,1,44.3029,0,0.0
1305,111.513,14544,1621845.0720000002,6145,685247.385
1673,34.2884,37,1268.6708,19,651.4796
492,45.4197,4733,214971.4401,1146,52050.9762
2249,320.874,18384,5898947.616,6160,1976583.84
264,17.7912,641,11404.1592,451,8023.8312
2123,26.1783,75,1963.3725,31,811.5273
116,27.1629,38,1032.1902,49,1330.9821
1159,18.1708,120,2180.496,284,5160.5072
1270,263.009,7733,2033848.597,10203,2683480.827
2165,28.2044,4,112.8176,2,56.4088
1152,171.372,425,72833.1,181,31018.332000000002
792,79.0312,121,9562.7752,7,553.2184
1979,51.6033,1040,53667.432,248,12797.6184
2185,56.1164,6,336.6984,31,1739.6084

weighted_avg,NA,NA,14269672.41613,NA,6342839.951410001
weighted_%,NA,NA,0.6922820547873376,NA,0.30771794521266244
weighted_total,20612512.367540002
