Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1150955,51740721.643,1054970,47425754.361999996
812,334.908,1048703,351219024.324,385977,129266785.11600001
1358,97.2156,920706,89506986.2136,859589,83565460.38839999
1778,40.8635,1379270,56361799.645,208097,8503571.7595
828,45.4532,1162128,52822436.409600005,2689575,122249790.39
2213,8.07837,1190579,9617937.67623,293266,2369111.25642
1726,65.5195,1227606,80432131.31699999,164699,10790996.130499998
2054,37.2896,1401556,52263462.6176,89208,3326530.6368
1903,16.1097,822143,13244477.0871,29616,477104.8752
509,133.977,1053204,141105112.308,375696,50334622.992
1751,10.0901,1324017,13359463.931699999,67356,679628.7755999999
62,40.4224,1343344,54301188.505600005,371658,15023308.339200001
2151,40.7196,1324098,53916740.9208,2012866,81963098.3736
239,98.774,1443299,142560415.426,92340,9120791.16
1893,44.3029,672954,29813813.7666,51206,2268574.2974
1305,111.513,1093202,121906234.626,1125354,125491600.60200001
1673,34.2884,1377358,47227402.0472,324210,11116642.164
492,45.4197,910788,41367717.7236,507934,23070209.8998
2249,320.874,1180848,378903421.152,1679127,538788196.998
264,17.7912,1311239,23328515.2968,2727396,48523647.7152
2123,26.1783,1108586,29020896.8838,441421,11555651.3643
116,27.1629,1251878,34004636.9262,1141781,31014083.124900002
1159,18.1708,1384642,25160052.8536,633873,11517979.5084
1270,263.009,1254645,329982926.805,2193906,577017023.154
2165,28.2044,1105272,31173533.5968,37488,1057326.5472
1152,171.372,1166507,199906637.604,871839,149408793.108
792,79.0312,969484,76619483.9008,70863,5600387.9256
1979,51.6033,1053872,54383272.9776,347002,17906448.3066
2185,56.1164,1107870,62169676.067999996,3057046,171550416.1544

weighted_avg,NA,NA,2647420120.2532296,NA,2290983535.42502
weighted_%,NA,NA,0.5360882392044213,NA,0.4639117607955789
weighted_total,4938403655.678249
