Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200625,53973616.625,1085019,48776595.1374
812,334.908,1500451,502513043.508,493792,165374891.136
1358,97.2156,1041996,101298266.3376,960445,93370236.942
1778,40.8635,1379373,56366008.5855,208152,8505819.252
828,45.4532,1162831,52854390.0092,2691838,122352650.9816
2213,8.07837,1190610,9618188.1057,293599,2371801.35363
1726,65.5195,1230024,80590557.468,165031,10812748.6045
2054,37.2896,1403690,52343038.624,91396,3408120.2816
1903,16.1097,822217,13245669.2049,29742,479134.6974
509,133.977,1145129,153420948.033,388340,52028628.18
1751,10.0901,1324017,13359463.931699999,67356,679628.7755999999
62,40.4224,1424396,57577504.870400004,390940,15802733.056000002
2151,40.7196,1324330,53926187.868,2014538,82031181.5448
239,98.774,1450417,143263488.75800002,93784,9263420.816
1893,44.3029,673142,29822142.7118,51234,2269814.7786
1305,111.513,1246152,138962147.976,1259651,140467461.963
1673,34.2884,1381364,47364761.37760001,324801,11136906.6084
492,45.4197,976117,44334941.3049,531608,24145475.8776
2249,320.874,1361160,436760853.84000003,1856248,595621720.7520001
264,17.7912,1358755,24173881.956,2741600,48776353.92
2123,26.1783,1109317,29040033.2211,442176,11575415.980800001
116,27.1629,1253479,34048124.729100004,1142487,31033260.1323
1159,18.1708,1385341,25172754.2428,636032,11557210.2656
1270,263.009,1313399,345435757.591,2313954,608590727.5860001
2165,28.2044,1108432,31262659.5008,38171,1076590.1524
1152,171.372,1169617,200439604.52400002,874018,149782212.696
792,79.0312,1191635,94176344.012,77293,6108558.5416
1979,51.6033,1060340,54717043.121999994,348768,17997579.7344
2185,56.1164,1107888,62170686.1632,3057189,171558440.7996

weighted_avg,NA,NA,2942232108.2013006,NA,2446955320.54683
weighted_%,NA,NA,0.5459509707356309,NA,0.45404902926436913
weighted_total,5389187428.748131
