Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,50,2247.73,367,16498.3382
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,1,40.8635,0,0.0
828,45.4532,25,1136.3300000000002,50,2272.6600000000003
2213,8.07837,9,72.70533,17,137.33229
1726,65.5195,0,0.0,0,0.0
2054,37.2896,32,1193.2672,76,2834.0096
1903,16.1097,2,32.2194,0,0.0
509,133.977,15,2009.655,3,401.93100000000004
1751,10.0901,0,0.0,0,0.0
62,40.4224,17,687.1808000000001,54,2182.8096
2151,40.7196,3,122.1588,104,4234.8384
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,12,1338.156,0,0.0
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,52,16685.448,77,24707.298000000003
264,17.7912,30,533.736,124,2206.1088
2123,26.1783,0,0.0,0,0.0
116,27.1629,2,54.3258,10,271.629
1159,18.1708,16,290.7328,40,726.832
1270,263.009,302,79428.71800000001,1106,290887.954
2165,28.2044,1,28.2044,0,0.0
1152,171.372,3,514.116,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,2,112.2328,8,448.9312

weighted_avg,NA,NA,107097.85593,NA,347913.53729
weighted_%,NA,NA,0.23537400936731648,NA,0.7646259906326835
weighted_total,455011.39322
