Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2205925,99166476.005,72699,3268154.4654,2340,105193.764,4680,210387.528
812,334.908,1434680,480485809.44,556927,186519307.71600002,2546,852675.768,90,30141.72
1358,97.2156,1780295,173072446.602,174021,16917555.9276,39209,3811726.4603999997,8916,866774.2895999999
1778,40.8635,1587367,64865371.4045,59,2410.9465,91,3718.5785,8,326.908
828,45.4532,3851703,175072226.7996,282,12817.8024,760,34544.432,1924,87451.9568
2213,8.07837,1483845,11987048.93265,1,8.07837,1,8.07837,362,2924.36994
1726,65.5195,1392305,91223127.44749999,2700,176902.65,46,3013.897,4,262.078
2054,37.2896,1490764,55589993.2544,3496,130364.4416,14,522.0544,812,30279.1552
1903,16.1097,851759,13721581.9623,49,789.3753,124,1997.6028000000001,27,434.9619
509,133.977,1428900,191439735.3,73788,9885894.876,29683,3976839.291,1098,147106.746
1751,10.0901,1391373,14039092.7073,0,0.0,0,0.0,0,0.0
62,40.4224,1715002,69324496.84480001,98962,4000281.5488000005,541,21868.5184,831,33591.0144
2151,40.7196,3336964,135879839.2944,21,855.1116,39,1588.0644,1844,75086.9424
239,98.774,1535639,151681206.586,8551,844616.474,7,691.418,4,395.096
1893,44.3029,724160,32082388.064,214,9480.820600000001,2,88.6058,0,0.0
1305,111.513,2218556,247397835.22800002,224293,25011585.309,42911,4785134.343,20043,2235055.059
1673,34.2884,1701568,58344044.21120001,4497,154194.93480000002,39,1337.2476000000001,61,2091.5924
492,45.4197,1418722,64437927.623399995,62208,2825468.6976,24760,1124591.7719999999,2035,92429.0895
2249,320.874,2859975,917691618.1500001,303609,97420234.266,52706,16911985.044,1118,358737.13200000004
264,17.7912,4038635,71852163.012,58666,1043738.5392,43,765.0216,3011,53569.3032
2123,26.1783,1550007,40576548.2481,975,25523.8425,511,13377.1113,0,0.0
116,27.1629,2393659,65018720.0511,2051,55711.1079,27,733.3983000000001,229,6220.3041
1159,18.1708,2018515,36678032.361999996,530,9630.524,170,3089.036,2158,39212.5864
1270,263.009,3448551,906999949.959,112536,29597980.824,14870,3910943.83,51396,13517610.564000001
2165,28.2044,1142760,32230860.144,3835,108163.874,0,0.0,8,225.6352
1152,171.372,2038346,349315430.712,1068,183025.296,4193,718562.7960000001,28,4798.416
792,79.0312,1040347,82219871.8264,228443,18054124.4216,75,5927.34,63,4978.9655999999995
1979,51.6033,1400874,72289721.2842,394,20331.7002,5958,307452.4614,1882,97117.41059999999
2185,56.1164,4164916,233720092.22239998,0,0.0,0,0.0,161,9034.7404

weighted_avg,NA,NA,4938403655.678249,NA,396279153.57097006,NA,36598375.93427001,NA,17906243.564640004
weighted_%,NA,NA,0.9163540368506734,NA,0.07353226415118817,NA,0.006791074984521656,NA,0.0033226240136167424
weighted_total,5389187428.74813
