Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10823,486543.6358,6384,286990.1664
812,334.908,82293,27560584.044,11386,3813262.4880000004
1358,97.2156,24141,2346881.7996,18442,1792850.0951999999
1778,40.8635,47,1920.5845000000002,10,408.635
828,45.4532,194,8817.9208,879,39953.3628
2213,8.07837,22,177.72413999999998,158,1276.38246
1726,65.5195,322,21097.279,111,7272.664499999999
2054,37.2896,597,22261.891200000002,547,20397.4112
1903,16.1097,19,306.0843,31,499.40070000000003
509,133.977,18306,2452582.9620000003,2053,275054.781
1751,10.0901,0,0.0,0,0.0
62,40.4224,12789,516962.07360000006,1993,80561.8432
2151,40.7196,82,3339.0072,652,26549.1792
239,98.774,688,67956.512,215,21236.41
1893,44.3029,1,44.3029,0,0.0
1305,111.513,31605,3524368.365,25797,2876700.861
1673,34.2884,882,30242.368800000004,23,788.6332000000001
492,45.4197,13633,619206.7701,4322,196303.9434
2249,320.874,35396,11357656.104,28373,9104158.002
264,17.7912,7830,139305.096,2260,40208.112
2123,26.1783,281,7356.1023000000005,259,6780.1797
116,27.1629,396,10756.5084,241,6546.2589
1159,18.1708,141,2562.0828,502,9121.7416
1270,263.009,13688,3600067.1920000003,33968,8933889.712000001
2165,28.2044,509,14356.0396,177,4992.1788
1152,171.372,960,164517.12000000002,549,94083.228
792,79.0312,49623,3921765.2376,1010,79821.512
1979,51.6033,1969,101606.8977,461,23789.1213
2185,56.1164,12,673.3968,34,1907.9576

weighted_avg,NA,NA,56983915.102139995,NA,27745404.26116
weighted_%,NA,NA,0.6725406922933721,NA,0.3274593077066279
weighted_total,84729319.3633
