Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,0,0.0,0,0.0,0,0.0,8315,373797.499,321915,14471560.059
812,334.908,0,0.0,0,0.0,0,0.0,4300,1440104.4000000001,360460,120720937.68
1358,97.2156,0,0.0,0,0.0,0,0.0,62770,6102223.211999999,1992270,193679723.412
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,1770,72328.395
828,45.4532,0,0.0,0,0.0,0,0.0,5690,258628.708,121700,5531654.44
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,15275,123397.10174999999
1726,65.5195,0,0.0,0,0.0,0,0.0,0,0.0,1585,103848.40749999999
2054,37.2896,0,0.0,0,0.0,0,0.0,255,9508.848,41325,1540992.72
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,6845,110270.8965
509,133.977,0,0.0,0,0.0,0,0.0,5680,760989.36,559250,74926637.25
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,0,0.0,0,0.0,0,0.0,2955,119448.19200000001,83675,3382344.3200000003
2151,40.7196,0,0.0,0,0.0,0,0.0,2655,108110.538,119170,4852554.732
239,98.774,0,0.0,0,0.0,0,0.0,30,2963.2200000000003,2780,274591.72000000003
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,85,3765.7465
1305,111.513,325,36241.725,0,0.0,0,0.0,104700,11675411.1,3201020,356955343.26
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,6230,213616.73200000002
492,45.4197,0,0.0,0,0.0,0,0.0,24510,1113236.847,590590,26824420.623
2249,320.874,0,0.0,0,0.0,0,0.0,49780,15973107.72,1854470,595051206.7800001
264,17.7912,1115,19837.188,0,0.0,0,0.0,205,3647.196,148380,2639858.256
2123,26.1783,0,0.0,0,0.0,0,0.0,615,16099.6545,3835,100393.7805
116,27.1629,0,0.0,0,0.0,0,0.0,730,19828.917,13625,370094.5125
1159,18.1708,1065,19351.902,0,0.0,0,0.0,1975,35887.33,62340,1132767.672
1270,263.009,9780,2572228.02,0,0.0,0,0.0,22905,6024221.1450000005,2669740,702165647.6600001
2165,28.2044,130,3666.572,0,0.0,0,0.0,0,0.0,1795,50626.898
1152,171.372,0,0.0,0,0.0,0,0.0,1805,309326.46,37295,6391318.74
792,79.0312,0,0.0,0,0.0,0,0.0,0,0.0,14080,1112759.296
1979,51.6033,0,0.0,0,0.0,0,0.0,4810,248211.873,261325,13485232.372499999
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,8770,492140.828

weighted_avg,NA,NA,2651325.407,NA,0.0,NA,0.0,NA,44594752.21950001,NA,2126780034.2907503
weighted_%,NA,NA,0.0012195462568118948,NA,0.0,NA,0.0,NA,0.020512519134451603,NA,0.9782679346087365
weighted_total,2174026111.91725
