Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,55325,2487113.245,0,0.0
812,334.908,72364,24235282.512000002,0,0.0
1358,97.2156,322140,31317033.384,0,0.0
1778,40.8635,360,14710.86,0,0.0
828,45.4532,20389,926745.2948,0,0.0
2213,8.07837,1210,9774.8277,0,0.0
1726,65.5195,300,19655.85,0,0.0
2054,37.2896,6547,244135.0112,0,0.0
1903,16.1097,1315,21184.2555,0,0.0
509,133.977,110724,14834469.348000001,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,13701,553827.3024,0,0.0
2151,40.7196,17476,711615.7296,0,0.0
239,98.774,573,56597.502,0,0.0
1893,44.3029,18,797.4522000000001,0,0.0
1305,111.513,492462,54915915.006000005,0,0.0
1673,34.2884,950,32573.980000000003,0,0.0
492,45.4197,108792,4941300.0024,0,0.0
2249,320.874,324300,104059438.2,0,0.0
264,17.7912,26062,463674.2544,0,0.0
2123,26.1783,790,20680.857,0,0.0
116,27.1629,2459,66793.5711,0,0.0
1159,18.1708,9548,173494.7984,0,0.0
1270,263.009,374051,98378779.459,0,0.0
2165,28.2044,170,4794.748,0,0.0
1152,171.372,6984,1196862.0480000002,0,0.0
792,79.0312,2669,210934.2728,0,0.0
1979,51.6033,46668,2408222.8044,0,0.0
2185,56.1164,1200,67339.68,0,0.0

weighted_avg,NA,NA,342373746.2559001,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,342373746.2559001
