Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,386530,17376301.538
812,334.908,369235,123659755.38000001
1358,97.2156,2169630,210921882.228
1778,40.8635,2550,104201.925
828,45.4532,155245,7056382.034
2213,8.07837,23910,193153.8267
1726,65.5195,1790,117279.90499999998
2054,37.2896,57450,2142287.52
1903,16.1097,7980,128555.406
509,133.977,590255,79080594.135
1751,10.0901,0,0.0
62,40.4224,101310,4095193.3440000005
2151,40.7196,157780,6424738.488
239,98.774,3305,326448.07
1893,44.3029,85,3765.7465
1305,111.513,3463355,386209106.115
1673,34.2884,6820,233846.888
492,45.4197,664920,30200466.924
2249,320.874,2029590,651242661.6600001
264,17.7912,189060,3363604.272
2123,26.1783,6885,180237.5955
116,27.1629,17210,467473.509
1159,18.1708,87135,1583312.658
1270,263.009,3208960,843985360.6400001
2165,28.2044,2040,57536.976
1152,171.372,45930,7871115.960000001
792,79.0312,14515,1147137.868
1979,51.6033,281480,14525296.884
2185,56.1164,10395,583329.978

weighted_avg,NA,NA,2393281027.4737
weighted_%,NA,NA,1.0
weighted_total,2393281027.4737
