Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,346160758,15561518411.5868
812,334.908,356149740,119277397123.92
1358,97.2156,720962603,70088812028.2068
1778,40.8635,357064220,14590893753.970001
828,45.4532,1937834557,88080781686.2324
2213,8.07837,780411871,6304455846.33027
1726,65.5195,64611242,4233296270.2189994
2054,37.2896,397762801,14832415744.1696
1903,16.1097,34595637,557325333.3789
509,133.977,774261901,103733286710.27701
1751,10.0901,0,0.0
62,40.4224,233178776,9425645754.9824
2151,40.7196,1470584419,59881609307.9124
239,98.774,43384512,4285261788.288
1893,44.3029,1553607,68829295.56030001
1305,111.513,1025098485,114311807357.80501
1673,34.2884,237057880,8128335412.592001
492,45.4197,685551824,31137558180.5328
2249,320.874,656811418,210753706939.332
264,17.7912,956795279,17022536167.7448
2123,26.1783,282345873,7391334967.1559
116,27.1629,841528006,22858341074.1774
1159,18.1708,453398804,8238618987.7232
1270,263.009,993016108,261172173548.97202
2165,28.2044,70785636,1996466391.9984
1152,171.372,267926247,45915056800.884
792,79.0312,184119234,14551164006.1008
1979,51.6033,321000223,16564670807.535898
2185,56.1164,2607490017,146322952789.9788

weighted_avg,NA,NA,1417286252487.567
weighted_%,NA,NA,1.0
weighted_total,1417286252487.567
