Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,109729353,4932839172.3738
812,334.908,112224948,37585032884.784004
1358,97.2156,161928271,15741954022.2276
1778,40.8635,345707202,14126806248.927
828,45.4532,265072437,12048390493.4484
2213,8.07837,141730337,1144950102.51069
1726,65.5195,89641998,5873298887.9609995
2054,37.2896,87407255,3259381576.048
1903,16.1097,100841902,1624532788.6494
509,133.977,303440364,40654029647.628
1751,10.0901,113840181,1148658810.3081
62,40.4224,117907549,4766106108.6976
2151,40.7196,257278972,10476296828.2512
239,98.774,86317329,8525907854.646
1893,44.3029,116322118,5153407161.5422
1305,111.513,198311518,22114312306.734
1673,34.2884,120999176,4148868146.3584003
492,45.4197,227478340,10331997959.298
2249,320.874,98510795,31609552834.83
264,17.7912,473361359,8421666610.2408
2123,26.1783,312020625,8168169527.4375
116,27.1629,172851829,4695156945.9441
1159,18.1708,103633587,1883105182.6596
1270,263.009,130440946,34307142766.514004
2165,28.2044,102677889,2895968252.5116
1152,171.372,101849797,17454203411.484
792,79.0312,132788804,10494458526.6848
1979,51.6033,138884602,7166903782.3866
2185,56.1164,438305077,24596103022.9628

weighted_avg,NA,NA,355349201864.0492
weighted_%,NA,NA,1.0
weighted_total,355349201864.0492
