Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,5170,232415.282,2727,122591.1942
812,334.908,42977,14393341.116,5455,1826923.1400000001
1358,97.2156,33797,3285595.6332,7912,769169.8271999999
1778,40.8635,8,326.908,16,653.816
828,45.4532,502,22817.506400000002,291,13226.881200000002
2213,8.07837,79,638.19123,56,452.38872
1726,65.5195,14,917.2729999999999,6,393.11699999999996
2054,37.2896,492,18346.4832,189,7047.7344
1903,16.1097,61,982.6917,18,289.9746
509,133.977,5754,770903.658,378,50643.306000000004
1751,10.0901,0,0.0,0,0.0
62,40.4224,4394,177616.02560000002,443,17907.1232
2151,40.7196,358,14577.6168,257,10464.9372
239,98.774,259,25582.466,22,2173.0280000000002
1893,44.3029,41,1816.4189000000001,3,132.9087
1305,111.513,44773,4992771.549000001,10300,1148583.9000000001
1673,34.2884,242,8297.792800000001,85,2914.514
492,45.4197,7530,342010.341,1419,64450.554299999996
2249,320.874,64623,20735840.502,15387,4937288.238000001
264,17.7912,4071,72427.9752,1131,20121.8472
2123,26.1783,74,1937.1942,40,1047.132
116,27.1629,394,10702.1826,105,2852.1045
1159,18.1708,293,5324.0444,229,4161.1132
1270,263.009,27646,7271146.814,16543,4350957.887
2165,28.2044,0,0.0,0,0.0
1152,171.372,346,59294.71200000001,161,27590.892000000003
792,79.0312,4889,386383.5368,121,9562.7752
1979,51.6033,366,18886.8078,79,4076.6607
2185,56.1164,59,3310.8676,43,2413.0052

weighted_avg,NA,NA,52854211.58942999,NA,13398089.999720002
weighted_%,NA,NA,0.7977717048563008,NA,0.2022282951436993
weighted_total,66252301.58914999
