Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,1796518,1455450854.218,140225,113603423.975
5297,898.498,1797516,1615064530.9680002,143636,129056658.728
5168,967.77,1797014,1739096238.78,140928,136385890.56
2807,979.819,1797362,1761089437.478,140364,137531314.116
2215,509.983,1802572,919281076.276,140302,71551634.866
1490,862.35,1803697,1555418107.95,139888,120632416.8
3954,490.914,1800945,884109113.73,139715,68588049.51
2031,399.553,1804836,721127638.308,140502,56137995.606

weighted_avg,NA,NA,10650636997.708,NA,833487384.1609999
weighted_%,NA,NA,0.927422643952124,NA,0.07257735604787596
weighted_total,11484124381.869
