Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,50854,41199418.953999996,3335,2701853.585
5297,898.498,51180,45985127.64,3394,3049502.2120000003
5168,967.77,51016,49371754.32,3333,3225577.41
2807,979.819,51048,50017800.312,3337,3269656.003
2215,509.983,51193,26107559.719,3286,1675804.138
1490,862.35,51266,44209235.1,3369,2905257.15
3954,490.914,51109,25090123.626,3304,1621979.856
2031,399.553,51329,20508655.937,3270,1306538.31

weighted_avg,NA,NA,302489675.608,NA,19756168.663999997
weighted_%,NA,NA,0.9386922468817805,NA,0.06130775311821955
weighted_total,322245844.27199996
