Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,3224492188,2612325570600.3877
5297,898.498,3283711078,2950407836160.844
5168,967.77,3235627360,3131343090187.1997
2807,979.819,3218691031,3153734627303.3887
2215,509.983,3218911243,1641590012438.869
1490,862.35,3201679696,2760968485845.6
3954,490.914,3199104880,1570485373060.32
2031,399.553,3216992336,1285358938825.808

weighted_avg,NA,NA,19106213934422.418
weighted_%,NA,NA,1.0
weighted_total,19106213934422.418
