Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,73924668,59890143704.868
5297,898.498,75095224,67472908573.552
5168,967.77,74432811,72033841501.47
2807,979.819,74443900,72941547654.09999
2215,509.983,74426282,37956138573.206
1490,862.35,74992965,64670183367.75
3954,490.914,74731333,36686657608.362
2031,399.553,74734658,29860456807.874

weighted_avg,NA,NA,441511877791.182
weighted_%,NA,NA,1.0
weighted_total,441511877791.182
