Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,54633,44260979.583,47579,38546174.429
5297,898.498,54443,48916926.614,47922,43057821.156
5168,967.77,54663,52901211.51,47539,46006818.03
2807,979.819,54611,53508895.408999994,47838,46872581.322
2215,509.983,54624,27857311.392,47570,24259891.31
1490,862.35,54390,46903216.5,47742,41170313.7
3954,490.914,54407,26709157.998,47596,23365542.744
2031,399.553,54447,21754462.191,47457,18961586.721

weighted_avg,NA,NA,322812161.197,NA,282240729.412
weighted_%,NA,NA,0.5335271778837086,NA,0.4664728221162915
weighted_total,605052890.609
