Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,256586,207873404.486,221346,179323683.246
5297,898.498,256830,230761241.34,221076,198636343.84800002
5168,967.77,256776,248500109.51999998,220695,213582000.15
2807,979.819,256599,251420575.581,221395,216927027.505
2215,509.983,255960,130535248.68,221282,112850058.206
1490,862.35,255384,220230392.4,222309,191708166.15
3954,490.914,256285,125813894.49,221087,108534703.51799999
2031,399.553,255840,102221639.52,221474,88490601.122

weighted_avg,NA,NA,1517356506.017,NA,1310052583.745
weighted_%,NA,NA,0.536659697215844,NA,0.46334030278415594
weighted_total,2827409089.762
