Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,185006,149882795.906,3414,2765855.514,4235848,3431676493.048
5297,898.498,187245,168239258.01000002,3455,3104310.5900000003,4236134,3806157926.7320004
5168,967.77,191489,185317309.53,3453,3341709.81,4229837,4093509353.49
2807,979.819,186056,182301203.864,3626,3552823.6939999997,4234774,4149312025.9059997
2215,509.983,191042,97428172.286,3440,1754341.52,4230301,2157381594.883
1490,862.35,191169,164854587.15,3590,3095836.5,4232250,3649680787.5
3954,490.914,190678,93606499.692,3395,1666653.03,4230547,2076834749.958
2031,399.553,190019,75922661.507,3438,1373663.214,4231200,1690588653.6

weighted_avg,NA,NA,1117552487.945,NA,20655193.872,NA,25055141585.117
weighted_%,NA,NA,0.04266550552799208,NA,0.0007885663517675738,NA,0.9565459281202403
weighted_total,26193349266.934002
