Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,577953,468229200.903,0,0.0
5297,898.498,583941,524669820.61800003,21,18868.458000000002
5168,967.77,587315,568385837.55,0,0.0
2807,979.819,587016,575169430.104,0,0.0
2215,509.983,588948,300353467.884,0,0.0
1490,862.35,589115,508023320.25,26,22421.100000000002
3954,490.914,588575,288939707.55,0,0.0
2031,399.553,592402,236695996.306,0,0.0

weighted_avg,NA,NA,3470466781.165,NA,41289.558000000005
weighted_%,NA,NA,0.9999881027339056,NA,1.1897266094355539e-05
weighted_total,3470508070.723
