Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,15,13477.470000000001,14,12578.972000000002
5168,967.77,2,1935.54,0,0.0
2807,979.819,0,0.0,0,0.0
2215,509.983,2,1019.966,0,0.0
1490,862.35,17,14659.95,12,10348.2
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,31092.926000000003,NA,22927.172000000002
weighted_%,NA,NA,0.5755807033152736,NA,0.4244192966847265
weighted_total,54020.098000000005
