Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,52499,42532117.349,3461,2803932.611
5297,898.498,52629,47287051.242000006,3633,3264243.234
5168,967.77,52474,50782762.98,3351,3242997.27
2807,979.819,52673,51610006.187,3458,3388214.102
2215,509.983,52330,26687410.39,3351,1708953.033
1490,862.35,52762,45499310.7,3479,3000115.65
3954,490.914,52375,25711620.75,3366,1652416.524
2031,399.553,52329,20908208.937,3361,1342897.633

weighted_avg,NA,NA,311018488.53499997,NA,20403770.057
weighted_%,NA,NA,0.9384357280537449,NA,0.0615642719462552
weighted_total,331422258.59199995
