Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
517,810.151,711486,576411094.3859999,503560,407959637.56,2123,1719950.5729999999,0,0.0,32641,26444138.790999997,4,3240.604,4,3240.604
5297,898.498,716198,643502470.6040001,500480,449680279.04,2310,2075530.3800000001,0,0.0,32817,29486008.866,7,6289.486000000001,55,49417.39
5168,967.77,711763,688822878.51,502494,486298618.38,2207,2135868.39,0,0.0,32654,31601561.58,6,5806.62,7,6774.389999999999
2807,979.819,711080,696729694.52,503366,493207570.754,2177,2133065.963,0,0.0,32645,31986191.255,2,1959.638,2,1959.638
2215,509.983,712136,363177253.688,502382,256206279.506,2097,1069434.351,0,0.0,32845,16750391.635,3,1529.949,3,1529.949
1490,862.35,713860,615597171.0,503081,433831900.35,2260,1948911.0,0,0.0,32801,28285942.35,8,6898.8,58,50016.3
3954,490.914,712151,349604896.014,502344,246607702.41599998,2138,1049574.132,0,0.0,32736,16070560.704,3,1472.742,2,981.828
2031,399.553,711975,284471747.175,502572,200804150.31599998,2092,835864.876,0,0.0,32907,13148090.571,6,2397.318,3,1198.659

weighted_avg,NA,NA,4218317205.8970003,NA,2974596138.322,NA,12968199.665,NA,0.0,NA,193772885.75199997,NA,29595.156999999996,NA,115118.758
weighted_%,NA,NA,0.5700583386203538,NA,0.40198336206387314,NA,0.0017525069820715224,NA,0.0,NA,0.026186235868425566,NA,3.999454096776732e-06,NA,1.5557011179192233e-05
weighted_total,7399799143.551
