Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,364487,295289507.537,50569,40968525.919
5297,898.498,363776,326852008.448,52459,47134306.582
5168,967.77,363981,352249892.37,51985,50309523.449999996
2807,979.819,364212,356861837.62799996,52073,51022114.787
2215,509.983,363770,185516515.91,51643,26337052.069000002
1490,862.35,363571,313525451.85,53005,45708861.75
3954,490.914,363912,178649495.568,50950,25012068.3
2031,399.553,363693,145314629.229,51204,20458711.812

weighted_avg,NA,NA,2154259338.54,NA,306951164.66899997
weighted_%,NA,NA,0.8752844731205283,NA,0.12471552687947164
weighted_total,2461210503.209
