Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
4118,2431.67,13.795,33544.887650000004
1010,22.174,14.207,315.026018
1362,2347.06,13.759,32293.19854
5198,1186.62,13.787,16359.92994

weighted_avg,NA,NA,82513.04214800001
weighted_%,NA,NA,1.0
weighted_total,82513.04214800001
