Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
49,53.1722,27,1435.6494
1172,4605.89,27,124359.03000000001

weighted_avg,NA,NA,125794.67940000001
weighted_%,NA,NA,1.0
weighted_total,125794.67940000001
