Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,0,0.0,24239,19637250.088999998
5297,898.498,0,0.0,25196,22638555.608000003
5168,967.77,0,0.0,24697,23901015.69
2807,979.819,0,0.0,24723,24224065.137
2215,509.983,0,0.0,24674,12583320.542
1490,862.35,0,0.0,25034,21588069.900000002
3954,490.914,0,0.0,24345,11951301.33
2031,399.553,0,0.0,24094,9626829.982

weighted_avg,NA,NA,0.0,NA,146150408.278
weighted_%,NA,NA,0.0,NA,1.0
weighted_total,146150408.278
