Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,955131474,773800718792.574
5297,898.498,957119873,859970291650.754
5168,967.77,959660307,928730455305.39
2807,979.819,957036532,937722577747.708
2215,509.983,955998709,487543089611.947
1490,862.35,958860923,826873716949.05
3954,490.914,958572240,470576532627.36
2031,399.553,958801323,383091945008.619

weighted_avg,NA,NA,5668309327693.402
weighted_%,NA,NA,1.0
weighted_total,5668309327693.402
