Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,794723869,643846337194.219
5297,898.498,822916485,739388815939.53
5168,967.77,790579000,765098638830.0
2807,979.819,789297002,773368199202.638
2215,509.983,808886421,412518323640.843
1490,862.35,829647316,715446362952.6
3954,490.914,799030809,392255410569.42596
2031,399.553,814171191,325304541877.623

weighted_avg,NA,NA,4767226630206.879
weighted_%,NA,NA,1.0
weighted_total,4767226630206.879
