Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,14734,11936764.833999999,239,193626.08899999998
5297,898.498,15564,13984222.872000001,257,230913.986
5168,967.77,14806,14328802.62,237,229361.49
2807,979.819,14780,14481724.82,255,249853.845
2215,509.983,14941,7619656.0030000005,205,104546.515
1490,862.35,15139,13055116.65,251,216449.85
3954,490.914,14861,7295472.954,228,111928.39199999999
2031,399.553,14993,5990498.129,209,83506.577

weighted_avg,NA,NA,88692258.88199998,NA,1420186.744
weighted_%,NA,NA,0.9842398379698372,NA,0.015760162030162856
weighted_total,90112445.62599999
