Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,1098061,889595217.211,43860,35533222.86
5297,898.498,1104687,992559060.126,44953,40390180.594000004
5168,967.77,1096934,1061579817.18,43582,42177352.14
2807,979.819,1096460,1074332340.74,43579,42699532.201
2215,509.983,1101171,561578490.093,44596,22743201.868
1490,862.35,1096673,945715961.5500001,45630,39349030.5
3954,490.914,1099564,539791361.4959999,44130,21664034.82
2031,399.553,1102994,440704561.682,44963,17965101.539

weighted_avg,NA,NA,6505856810.078001,NA,262521656.52199998
weighted_%,NA,NA,0.9612135081072269,NA,0.03878649189277295
weighted_total,6768378466.600001
