Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,163977,132846130.527,0,0.0
5297,898.498,175373,157572289.754,21,18868.458000000002
5168,967.77,167925,162512777.25,0,0.0
2807,979.819,168111,164718351.90899998,0,0.0
2215,509.983,169220,86299323.26,0,0.0
1490,862.35,172256,148544961.6,26,22421.100000000002
3954,490.914,168907,82918810.998,0,0.0
2031,399.553,170540,68139768.62,0,0.0

weighted_avg,NA,NA,1003552413.9180001,NA,41289.558000000005
weighted_%,NA,NA,0.9999588582930952,NA,4.114170690488733e-05
weighted_total,1003593703.4760001
