Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,686843,556446543.293
5297,898.498,1463936,1315343568.128,722069,648777552.362
5168,967.77,1463546,1416375912.42,693481,671130107.37
2807,979.819,1463317,1433785799.623,686639,672781938.341
2215,509.983,1464454,746846644.2820001,690887,352340624.921
1490,862.35,1464636,1263028854.6000001,704452,607484182.2
3954,490.914,1463943,718670113.902,691221,339330065.994
2031,399.553,1464988,585340350.364,691731,276383196.243

weighted_avg,NA,NA,8665225465.039001,NA,4124674210.7240005
weighted_%,NA,NA,0.6775053506838444,NA,0.3224946493161555
weighted_total,12789899675.763002
