Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14087,11412597.137,0,0.0
5297,898.498,14924,13409184.152,1,898.498
5168,967.77,14166,13709429.82,0,0.0
2807,979.819,14144,13858559.935999999,0,0.0
2215,509.983,14303,7294286.849,0,0.0
1490,862.35,14500,12504075.0,1,862.35
3954,490.914,14223,6982269.822,0,0.0
2031,399.553,14354,5735183.762,0,0.0

weighted_avg,NA,NA,84905586.47799999,NA,1760.848
weighted_%,NA,NA,0.9999792615355978,NA,2.0738464402135434e-05
weighted_total,84907347.32599999
