Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,127831184,103562561548.784
5297,898.498,127582871,114632954427.75801
5168,967.77,128403181,124264746476.37
2807,979.819,128135442,125549540644.998
2215,509.983,127886262,65219819553.546
1490,862.35,128155221,110514654829.35
3954,490.914,128312439,62990372679.245995
2031,399.553,128253612,51244115435.436

weighted_avg,NA,NA,757978765595.488
weighted_%,NA,NA,1.0
weighted_total,757978765595.488
